Keyword,Engagements,Tweets(unique)
rt,3311,791
icu,1439,374
mds,1365,185
en,1139,166
heart,994,305
coronary,978,182
skin,965,97
cardiac,730,126
lot,669,184
face,665,233
act,608,69
cardiovascular,539,199
membrane,450,10
pt,409,96
immune system,320,30
coronary artery,318,22
id,308,135
vs,304,102
cdc,300,97
cardiovascular system,275,18
cs,257,41
breast,254,18
los,243,64
hands,232,76
das,221,16
cc,218,84
lungs,211,41
oral,209,51
can,209,64
pro,205,21
vascular,196,43
head,192,62
acs,183,46
testes,176,2
ns,169,7
cd,169,11
hand,168,62
teste,159,1
dias,159,1
toes,154,53
gi,145,35
1n,140,23
web,129,28
ve,111,41
es,109,34
eyes,105,35
pulmonary artery,103,5
1s,103,23
lung,102,45
arms,96,8
aneurysm,95,5
joint,95,21
body,94,44
belly,88,6
appendix,87,5
pulmonary,83,29
ft,83,25
st,78,32
ccs,78,12
heads,75,15
dms,74,12
19s,74,11
tv,69,27
brain,68,30
4s,68,26
groin,67,3
eye,65,28
femoral,64,8
aortic,62,7
stem,61,29
faces,60,28
cos,60,4
inguinal,58,2
sim,58,17
renal,58,13
ic,54,10
gr,53,22
anatomy,53,22
chest,52,30
artery,52,5
globe,51,24
acc,51,19
throat,51,8
pa,49,23
ii,49,21
nose,48,23
rotation,48,26
cardio-,48,8
coronary sinus,48,10
ear,47,10
hepatic,44,5
alveolar,43,4
alveoli,43,2
abnormalities,42,4
iliac vein,41,1
ent,40,11
hip,40,6
hernias,38,2
rts,37,6
spine,36,8
pic,36,19
acp,36,15
feet,36,18
ox,36,7
finger,35,7
lo,35,17
cord,35,7
pd,34,12
arm,34,18
nerves,34,5
axis,34,10
hs,32,9
eu,32,12
neck,32,3
ig,31,12
dk,31,5
ob,29,12
breakdown,29,10
tissue,28,6
collateral,28,15
3s,28,14
asd,28,3
aca,28,9
vein,28,3
liver,27,17
noses,27,5
graft,26,5
pi,26,10
human body,26,3
femoral artery,26,2
amts,26,2
beak,25,3
knee,25,8
hernia,25,3
artery and vein,25,1
op,24,13
aorta,24,6
endocrine,24,9
ventricular,24,7
airway,24,16
cerebellar,24,1
kinking,24,1
pr,23,16
kidney,23,15
recurrent laryngeal nerve,23,1
groove,23,1
a2,23,9
nasopharyngeal,22,10
atrial septal defect,22,1
ac,21,6
hair,21,10
vsd,21,5
ps,21,10
os,21,7
arterial,21,4
sf,20,11
ml,20,11
ears,20,9
vessels,20,3
lip,19,3
12n,19,6
toe,19,7
lens,19,10
digit,19,7
femoral triangle,19,1
femoral hernias,19,1
fr,18,11
organs,18,10
ventral hernia,18,4
m3,18,5
endothelial,18,9
basement,18,1
endothelium,18,5
distal tibia,17,2
polls,17,8
vasculature,17,4
cerebral,17,4
extensors,17,2
bone,16,10
gastro,16,4
layers,16,6
cusp,16,2
left coronary cusp,16,2
20s,15,12
kidneys,15,7
sebaceous cyst,15,1
pals,15,4
coronary vein,15,3
fmt,14,2
thoracic,14,7
nasal,14,10
backs,14,8
auscultatory triangle,14,1
latissimus dorsi,14,1
coronal suture,14,2
sinus coronary,14,2
coronary sulcus,14,2
coronary ligament,14,2
corona radiata,14,2
coronoid process,14,2
coronoid fossa,14,2
2s,13,3
v7,13,2
v9,13,2
cranial nerves,13,3
cardiopulmonary,13,2
recession,13,6
triangle of auscultation,13,1
"muscles, respiratory",13,1
arteria coronaria,12,2
a point,12,4
vessel,12,6
head and neck,12,5
right coronary artery,12,6
bone marrow,12,4
fingers,12,5
bs,12,9
alv,12,2
heart lungs,12,1
spo,11,3
mos,11,5
gi tract,11,5
shoulder,11,2
pg,11,9
dis,11,3
gut,10,7
mouth,10,8
tail,10,5
grafting,10,3
superior lumbar hernia,10,1
sw,9,2
immune systems,9,4
myocardial,9,6
atlas,9,1
30d,9,3
ko,9,8
legs,9,7
aortic root,8,2
pw,8,2
epidermal,8,2
fin,8,4
limb,8,3
left coronary artery,8,1
hearts,8,5
l3,8,3
fistulas,8,2
carotid,8,2
organ,8,6
leg,8,3
arterial grafts,7,2
transposition,7,1
th,7,3
foot,7,4
the brain,7,6
nail,7,7
arteries,7,2
cranial nerve,7,2
crown,7,3
facial,7,7
s3,7,1
female genital tract,7,2
mucosa,7,2
sole,7,3
inferior lumbar hernia,7,1
pip,7,1
nasopharynx,6,2
myocardial tissue,6,3
blood vessels,6,5
qs,6,3
portal,6,4
spurring,6,3
cannula,6,2
tongue,6,6
deep vein,6,1
capillaries,6,1
pericardium,6,1
a1,6,3
paws,6,5
a3,6,4
posterior fossa,6,1
sas,6,2
rhf,6,3
cx,5,4
plaques,5,1
opt,5,5
narrowing,5,3
unc,5,2
pituitary,5,3
a8,5,4
ccr,5,2
epicardial fat,5,1
chin,5,4
cilia,5,2
pos,5,5
left ventricle,5,3
mouths,5,4
left subclavian,5,1
pulmo,5,1
9m,5,3
ots,5,2
patent foramen ovale,5,1
arterial fistula,5,1
pu,5,3
veins,5,2
sta,5,2
gallbladder,5,1
gum,5,1
area 4,5,1
fistula,5,4
iliac artery,4,3
cardiac abnormalities,4,1
valve,4,3
right ventricle,4,1
4a,4,4
stump,4,1
subcostal,4,1
retina,4,3
blood vessel,4,2
accs,4,2
polling,4,2
delle,4,2
cardiac vein,4,1
mantle,4,1
grafts,4,1
cor,4,2
c3,4,2
10v,4,2
v10,4,2
ulnar,4,1
wrists,4,1
forearms,4,1
venous,4,2
thyroid,4,1
abdomen and,4,1
perineum,4,1
nasal cavity,4,2
heart tissue,4,1
abd,4,2
endovascular,4,2
br,4,3
bicuspid,4,1
chamber,4,3
prs,4,1
right sinus of valsalva,4,1
a7,4,3
a9,4,3
right eye,4,1
chests,4,1
tails,3,1
renal artery,3,2
spur,3,2
hairs,3,2
brainstem,3,2
oropharyngeal,3,3
right ventricular dilation,3,2
tissues,3,2
pancreas,3,2
lips,3,2
ocular,3,1
ds,3,1
10a,3,1
shoulders,3,3
elastic fibers,3,1
muscle,3,1
claw,3,1
placental tissue,3,1
skins,3,2
mtg,3,2
p2,3,2
atrium,3,1
knees,3,3
aw,3,3
guts,3,2
sagittal section,3,1
monster,3,3
tu,3,1
large vessel,3,3
digestive,3,1
stomach,3,3
fragmented,3,2
recessions,3,2
teat,3,1
entire human body,3,2
small vessel,3,1
womb,3,2
flaps,3,2
moustache,3,1
papillary dermis,3,1
eyebrows,3,3
necks,3,1
pleura,3,2
fang,3,1
sinus,3,1
transplants,3,1
atrial,3,1
right hand,3,2
lims,3,2
dea,3,2
5a,3,1
costa,2,2
gastrointestinal tract,2,1
sagittal,2,2
cornea,2,1
mts,2,1
calf,2,1
nerve,2,2
nostril,2,2
stumped,2,2
myocardium,2,2
waist,2,2
cardiovascular abnormalities,2,1
ribcage,2,2
digits,2,1
ec,2,2
cas,2,1
sinus of valsalva aneurysm,2,1
polled,2,2
gn,2,2
skinned,2,2
ostium,2,1
anterior interventricular groove,2,1
great cardiac vein,2,1
pul,2,1
connective tissue,2,1
azygos lobe,2,1
pulmonary lobe,2,1
azygos vein,2,1
posterior chest wall,2,1
vena cava,2,1
venter,2,1
fissures,2,1
bulb,2,2
non-occlusive thrombus,2,1
anomaly,2,2
teeth,2,1
nails,2,2
blood-brain barrier,2,1
bbb,2,1
peripheral nerves,2,1
respiratory tract,2,2
pc,2,2
darwin,2,2
right foot,2,1
ovaries,2,1
organ systems,2,1
renin-angiotensin system,2,1
tracheal,2,1
rs,2,2
spt,2,1
mentale,2,1
airways,2,2
respiratory system,2,2
left arm,2,1
arm vein,2,1
forehead,2,2
sm,2,1
backbone,2,2
septum,2,2
tac,2,1
blisters,2,2
body system,2,2
umbilical,2,1
acs i,2,2
tt,2,1
cervical lymph node,2,1
sheath,2,1
frm,2,1
ophthalmic,2,1
capsule,2,2
5t,2,2
heart muscle,2,2
valves,2,2
mitral valve,2,2
sprs,2,1
cerebellum,2,1
dentate nucleus,2,1
nipples,2,1
pleural,2,1
fi,2,1
dt,2,1
iris,2,1
stoma,2,1
left coronary sinus,2,1
optic nerve sheath,2,2
intracranial,2,2
buds,1,1
eminence,1,1
inner ear,1,1
utricle,1,1
saccule,1,1
canal,1,1
ba,1,1
deformity,1,1
17m,1,1
hea,1,1
both lungs,1,1
ilio-femoral,1,1
pair of hands,1,1
iliac arteries,1,1
chest tube,1,1
circulatory,1,1
left basal ganglia,1,1
insula,1,1
coronary vessels,1,1
lumens,1,1
neck anatomy,1,1
tp,1,1
12m,1,1
iliac,1,1
fossa,1,1
gic,1,1
premature closure,1,1
heel,1,1
nervous system,1,1
pocs,1,1
utero,1,1
18m,1,1
ol,1,1
mls,1,1
scc,1,1
olive,1,1
coronary-pulmonary artery fistula,1,1
cheek,1,1
wrist,1,1
chestnut,1,1
pharyngeal,1,1
radial artery,1,1
sclera,1,1
toenail,1,1
upper limb,1,1
myelin,1,1
perineal,1,1
4x,1,1
bowel,1,1
pyramid,1,1
cis,1,1
nate,1,1
coronary vessel,1,1
spcs,1,1
aneurysms,1,1
"aneurysms, fusiform",1,1
fusiform aneurysms,1,1
hy,1,1
