Keyword,Engagements,Tweets(unique)
medical,3909,987
healthcare,3030,1032
virtual,3008,757
quarantine,2092,1448
surgery,1905,276
treatment,1496,325
cardiology,1482,578
hospital,1333,435
nursing,952,230
pediatrics,876,171
hospitals,807,260
light,801,108
public health,768,193
guidance,744,153
telehealth,696,223
change,682,211
discussion,681,195
vaccine,660,229
est,625,148
health care,574,177
medical school,536,80
american heart association,536,25
challenges,478,138
telemedicine,461,178
application,428,83
store,412,36
pulse,409,32
prevention,362,78
treatments,361,60
surgical,355,96
monitor,334,50
visit,332,117
visits,315,75
med school,290,59
exam,277,69
place,269,107
advice,268,109
life support,268,5
clinics,267,75
risk assessment,261,14
bls,259,5
services,251,102
treatment protocol,242,14
critical care,242,58
genetics,235,28
temperature,228,27
screening,224,53
overlapping,224,3
lab,218,86
therapies,217,38
demand,211,70
answer questions,210,8
epidemiology,209,151
rounds,203,82
primary care,201,55
exercise,196,49
extracorporeal membrane oxygenation,191,9
clinic,188,87
therapeutics,178,18
patient care,175,58
reported,175,67
prepare,173,56
isolation,172,71
ecmo,167,33
double lung transplant,166,14
reporting,161,59
elective surgery,155,29
iv,154,24
therapy,154,48
registration,145,40
evaluate,145,21
healthcare system,143,59
medical schools,141,28
prescriptions,139,24
anticoagulation,130,37
orthopedics,130,19
coronary arteries,130,14
mood,130,18
discussions,126,46
delivery,126,50
lung transplant,126,7
beach,126,11
nursing homes,123,39
neurosurgery,122,50
surgery:,120,18
intubation,119,33
diet,117,25
admissions,117,27
contact tracing,116,66
surveillance,116,33
wards,116,32
physical,114,52
transplant,113,28
chronic,112,36
retraction,111,28
implantation,110,8
rehab,104,23
detection,101,24
thrombectomy,101,4
anesthesia,99,30
in hospital,98,28
point-of-care,98,5
procedures,91,46
triage,91,36
spirituality,90,1
admit,89,25
interventions,88,32
assessment,86,33
pre-registration,86,9
collect,85,17
extracorporeal membrane oxygenation (ecmo),82,3
discharge,81,27
evaluation,80,20
pharmacy,80,22
treated with,78,19
post-exposure prophylaxis,76,4
prophylaxis,74,20
caring for the dying,73,5
consultations,72,14
hospice,71,19
intervention,70,24
institution,70,34
repair,69,10
inpatient treatment,69,2
clinical management,69,15
extubated,68,12
packed,67,20
touch,66,32
demanding,65,9
peeps,65,16
monitoring,65,33
suicide prevention,65,3
dialysis,64,17
laboratory,64,11
nursing home,62,31
therapeutic,62,19
resuscitation,59,15
blood pressure,59,11
peer support,59,6
phoenix,58,12
follow up,57,22
medicare,57,23
surgeries,56,24
mechanical ventilation,56,13
compassionate use,55,9
applications,55,25
shelters,55,9
assist,54,22
rx,54,15
consult,54,17
palliative care nursing,52,12
palliative care,52,19
admission,52,17
rehabilitation,51,22
extubation,51,11
measured blood pressure,51,4
social determinants of health,50,13
cardiac surgery,50,21
classes,49,25
surgical mask,49,9
health services,49,10
admitted,48,20
investigation,48,18
emergency department,48,9
5 minutes,47,19
feeding,47,9
urgent care,46,6
donation,46,20
long-term care,46,7
repairs,45,2
placebo,43,17
administration,42,27
documenting,42,15
bathed,42,3
health care systems,41,11
cutting,41,14
expressions,40,3
consultation,39,5
chemo,39,12
contacts,38,14
incision,38,4
detected,38,9
referrals,38,7
percutaneous coronary intervention,38,14
mobilization,37,6
peer review,37,21
pharmaceutical,36,12
end of life care,36,5
"services, health",36,4
discharged,35,17
registered,35,17
gallbladder surgery,34,2
ventilation,33,24
shot,33,16
documented,33,5
intensive care,33,12
monitor patients,33,2
blood banks,33,3
vaccination,32,14
thoracic surgery,32,5
elective surgeries,31,10
laparoscopic surgery,31,2
admitted to,31,16
prescribing,31,16
prone positioning,31,7
bolus,31,3
vision,30,15
demands,30,7
pre-exposure prophylaxis,30,3
wash your hands,30,13
crush,29,7
infection control,29,11
cancer care,29,13
drill,29,7
quality care,28,5
stabilization,28,9
community hospital,28,4
standard of care,27,11
advice to,27,10
rural hospitals,27,10
radiation,27,10
peer reviewed,27,16
perfusion,26,7
cold,26,12
hospital admission,26,10
drug repurposing,26,7
balloon,26,14
exercises,26,9
step up,26,10
document activities,26,3
health insurance,25,8
ex,25,13
appearance,25,6
3m,25,5
social care,25,5
community resources,25,1
hospitalizations,24,10
prescribed,24,12
medical center,24,12
emergency departments,24,4
obstetrics,23,12
emergency room,23,10
resection,23,4
psychiatric hospitals,23,2
fee for service,23,3
enlarged,23,1
goals of care,22,6
consults,22,9
cancer treatment,22,5
abdominal surgery,22,4
mitral valve replacement,22,1
general surgery,22,4
mental health care,22,5
rural hospital,22,6
regimen,21,8
yoga,21,10
admits,21,5
reframing,21,2
lifesaving,21,9
immunomodulation,21,3
aged care,21,4
removal,21,6
injection,20,4
noninvasive ventilation,20,2
revascularization,20,5
healthcare systems,20,8
acute care,20,10
distraction,20,8
induction,20,7
operating room,20,4
trauma center,20,2
end-of-life care,20,2
turnover,19,6
care delivery,19,5
mile,19,11
psychotherapy,19,7
bifurcation,19,5
tamponade,18,5
compression,18,2
ambulatory,18,7
disinfection,18,8
stenting,18,5
encounter,18,4
shortening,17,6
replacement,17,7
skin care,17,2
hospital admissions,17,9
debridement,17,2
skin graft,17,2
coronary angioplasty,17,7
mobilizing,17,6
hospitalization,17,13
labor and delivery unit,17,1
harm reduction,17,5
diagnostic services,17,3
reintroduction,17,5
creation,17,8
prognosis,16,8
knee replacements,16,2
cholecystectomy,16,2
assessments,16,6
angioplasty,16,4
operation,16,11
infection prevention,16,10
enrollment,16,10
world health organization,16,11
surgical service,16,1
a surgical mask,16,6
hemostasis,16,4
tracheostomy,15,8
biomed,15,6
examinations,15,3
boehringer ingelheim,15,1
immunotherapy,15,6
fecal transplantation,14,2
cardiovascular care,14,8
heart transplant,14,11
university hospital,14,4
drug therapies,14,4
posterolateral thoracotomy,14,1
decision making support,14,1
bifurcations,14,2
reassurance,13,4
placed,13,6
tens,13,7
bridge,13,8
stellar,13,8
hospital care,13,7
bcg vaccination,13,2
mechanical,13,8
palliative,13,6
shots,13,11
balloon angioplasty,13,2
bone marrow transplant,13,1
mimic,12,3
fracture care,12,4
psychiatric,12,8
revised,12,6
clearance,12,6
consulting,12,7
withdrawal,12,2
nursing school,12,3
elevation,12,7
group purchasing,12,3
sheltering,12,8
intensive care unit,12,1
delivery methods,12,4
documentation,12,2
disinfectant,11,9
bypass,11,5
viral therapy,11,4
aspiration,11,3
prescription,11,7
airway management,11,5
healthcare services,11,5
follow-up,11,7
scheduling,11,8
packing,11,9
admitting,11,4
tertiary care,10,3
augmentation,10,1
care continuum,10,2
homeless shelter,10,4
fluid mgmt,10,3
ga,10,9
fluids,10,4
thyroidectomy,10,2
placements,10,8
placement,10,7
cannulation,10,5
stress management,10,5
maternity care,10,2
drug therapy,10,8
standards of care,10,1
intubations,10,4
immunizations,10,4
examination,10,7
health care system,10,9
skilled nursing facility,10,1
"school, nursing",10,1
investigations,10,5
relaxation technique,10,2
