Keyword,Engagements,Tweets(unique)
coronavirus,8417,3601
virus,3224,1684
disease,1235,241
best,844,279
infection,789,177
symptoms,722,207
syndrome,648,97
kawasaki disease,637,56
chest pain,544,74
tag,543,113
diabetes,504,119
emergency,433,153
pneumonia,432,58
little,425,67
kawasaki,422,51
stroke,388,92
diseases,372,47
cvd,364,58
sick,362,121
transmission,338,119
sensitivity,338,28
ill,332,99
fever,313,42
dm,309,85
anxiety,306,81
pain,302,51
fatigue,297,42
trauma,297,65
forget,294,99
coronary artery disease,294,53
ischaemia,287,28
cancer,260,117
cervical cancer,259,17
ai,209,89
plague,205,14
ards,197,63
suffering,197,43
tired,196,38
multi,195,56
mi,194,40
pathology,193,53
acute coronary syndromes,190,16
complication,178,30
immunodeficiency disorders,178,6
exposure,172,67
myocardial injury,170,17
cut,156,44
illness,154,72
thrombosis,145,41
infections,141,45
cad,141,25
critically ill,134,47
hypertension,130,70
oncology,130,57
sad,130,56
vomiting,130,6
illnesses,128,24
myocarditis,128,27
influenza,127,25
autoimmune disorders,125,2
myalgic encephalomyelitis,125,9
shortness of breath,124,14
strain,124,20
blood,123,52
chronic fatigue syndrome,121,7
shock,121,35
hip fracture,118,11
ischemic stroke,117,7
black death,115,4
infectious disease,114,26
posterior,114,12
chronic illnesses,114,4
phobia,112,12
sudden death,109,4
damage,109,50
takotsubo syndrome,109,9
breathlessness,109,9
flu,108,58
emergencies,106,19
infectious diseases,104,34
heart disease,103,27
rbbb,103,6
exhausted,101,22
acute pulmonary embolism,101,4
skin manifestations,101,23
cross,98,19
delirium,96,20
violence,89,31
heart failure,88,23
infarct,88,2
injury,86,26
inflammation,85,32
pulmonary embolism,85,17
card,83,19
condition,81,29
depression,81,29
coagulopathy,79,30
obesity,78,33
co-infection,77,18
suffer,76,28
coronary thrombosis,75,7
rp,73,12
malaria,72,18
cardiomyopathy,71,3
heart attack,71,24
giant,71,13
rash,71,15
ha,70,24
ami,69,13
pathophysiology,69,36
thrombus,68,10
clots,66,17
progression,66,16
rashes,65,18
arrhythmia,65,16
cytokine storm,65,14
embolic,64,1
ischemia,63,22
severe acute respiratory syndrome,63,9
cardiovascular disease,61,28
contracted,61,12
common cold,61,3
htn,61,16
stenosis,60,7
dementia,58,11
loss of identity,58,5
sequelae,58,11
thrombotic,58,7
respiratory symptoms,57,7
wounds,57,3
nervous,56,9
sexual assault,56,3
side effects,55,23
psychological,54,14
cannabis,54,11
block,54,25
wasting,52,9
wasted,52,12
falling,51,10
smith,50,12
coronary occlusion,50,3
mental illness,49,11
interaction,49,18
syndromes,49,6
addiction,48,20
acute coronary syndrome,48,18
mass,47,29
plaque,47,15
pernio,46,24
rupture,46,12
west,46,19
acute respiratory distress,46,1
respiratory distress acute,46,1
ebola,45,18
hypercoagulability,44,5
difficulty breathing,44,2
del,44,19
pulmonary complications,43,9
strokes,43,21
bleeding,43,14
cardiac disease,43,6
infectious,42,20
copd,42,16
confusion,41,15
hyper,41,11
cardiovascular complications,40,12
confused,40,18
bite,40,3
coronary vasospasm,40,3
dilated cardiomyopathy,39,4
cardiovascular diseases,39,9
der,39,10
aortic stenosis,38,3
coronary disease,38,14
coronary artery aneurysms,38,2
anxious,37,20
cough,37,23
explosion,37,3
cancers,37,10
curb,36,9
nightmare,36,12
viral shedding,36,7
van,36,9
pheochromocytoma,36,2
x-linked agammaglobulinemia,35,2
immunodeficiency,35,2
abscence,35,2
perimyocarditis,34,4
shocked,34,12
angina,34,10
blood clots,33,15
ph,33,15
autism,33,7
venous thromboembolism,33,5
flushing,33,5
headaches,32,7
arrhythmias,32,14
xenophobia,32,5
recruitment,31,14
t2d,31,8
aids,31,11
post viral fatigue,31,3
blocked,31,13
sob,31,14
respiratory failure,30,7
cardiac arrest,30,15
critical illness,29,12
dengue,29,9
acute respiratory distress syndrome,29,7
cardiotoxicity,29,4
psych,28,15
catching,28,15
eczema,28,8
du,28,14
zika,28,13
asthma,28,5
interactions,27,11
gastrinoma,27,2
cuts,27,20
clot,27,10
hyperaesthesia,27,2
acute appendicitis,27,2
depressing,27,5
inflammatory response,27,5
arrested,26,8
ts,26,6
cardiac arrhythmias,26,3
of disease transmission,26,5
shop,25,15
transforming,25,8
disorders,25,10
pulmonary complication,25,1
coronavirus infection,25,12
skin rashes,25,8
inv,25,6
pericardial effusion,24,5
child abuse,24,4
hypoxia,24,11
adverse effects,24,2
injuries,24,6
symptoms of depression,24,4
depression anxiety,24,4
sepsis,24,16
chronic illness,24,6
headache,23,10
psoriasis,23,11
heart attacks,23,15
tb,23,10
sweet,23,14
painful,23,15
quality of life,23,4
appendicitis,23,5
imbalance,22,8
toe in,22,1
r4,21,1
anus,21,1
aches,21,6
simons,21,1
recurrent laryngeal nerve injury,21,1
disease course,21,16
psyche,21,3
bad trip,21,3
goldstein,21,4
myeloma,21,3
vt,20,6
chilblains,20,10
effusion,20,4
neurotoxicity,20,13
suffocate,20,3
domestic violence,20,9
dysfunction,20,11
burn,20,9
hanging,20,5
pathogenesis,20,5
shock syndrome,20,4
aspergillosis,20,2
job strain,20,2
afib,19,9
sensitive,19,11
struck,19,6
thrombi,19,5
atherosclerosis,19,7
acute myocardial infarction,19,4
other disease,19,1
abdominal pain,19,4
eds,18,6
aaa,18,3
out-of-hospital cardiac arrest,18,9
hot spots,18,9
mutants,18,1
collision,18,5
chronic disease,18,7
cardiac symptom,18,1
traumas,18,6
epididymitis,18,4
orchitis,18,4
infection reactivation,18,1
edwards,18,5
heart arrhythmias,17,6
adverse events,17,5
anterior,17,9
fox,17,5
ra,17,5
resp,17,6
dizziness,17,4
meningococcal disease,17,2
stiff,17,1
pulmonary oedema,17,2
measles,16,6
skin damage,16,1
delhi,16,8
insomnia,16,7
spots,16,7
muscle weakness,16,3
pancreatitis,16,8
gi symptoms,16,8
dolor,16,3
curbing,16,2
vasospastic angina,16,1
moral injury,16,3
aml,16,2
lupus,15,4
uc,15,8
fracture,15,3
kidney disease,15,4
blood vessel disease,15,4
blows,15,4
restenosis,15,3
cytokine release syndrome,15,5
hangs,14,4
giants,14,10
supraventricular tachycardias,14,2
rigor,14,4
ageusia,14,4
coronary heart disease,14,6
myocardial infarction,14,9
ALZHEIMERS,14,2
alzheimers disease,14,2
hyperglycemia,14,4
dyspnea,14,8
toxicity,14,3
acne,14,9
resolution,14,8
o a,14,5
nonsense,14,6
angioedema,14,6
stent restenosis,14,3
brugada syndrome,14,1
post viral fatigue syndrome,14,1
other infectious diseases,14,4
weak,13,8
coronary artery dissection,13,4
collapse,13,7
trigeminal neuralgia,13,3
unstable angina,13,2
brain tumors,13,4
epp,13,2
infarction,13,7
uti,13,4
flood,13,9
crushing,13,7
breathless,12,3
falls,12,9
strains,12,7
syncope on exertion,12,1
groin pain,12,1
gas,12,10
concussion,12,7
autoimmune,12,4
shocking,12,8
urticaria,12,4
dull,12,4
short-sighted,12,2
prostate cancer,12,5
CELIAC,12,3
celiac disease,12,3
celiac,12,3
inflammatory disease,12,6
wound,12,2
pulmonary fibrosis,12,4
nightmares,12,4
self-harm,12,1
gastrointestinal symptoms,12,3
sdh,12,4
other symptoms,12,5
coughing,12,4
dios,12,1
hd,12,4
endothelial dysfunction,12,2
leprosy,12,3
sigh,11,7
cardiac complications,11,7
ulcerated,11,1
attacked,11,8
lung inflammation,11,4
evans,11,6
burning,11,5
brain injury,11,8
cirrhosis,11,5
exhaustion,11,5
viral infection,11,8
behavioral disturbance,11,2
exposures,11,6
physical symptoms,11,3
syncope,11,3
weakness,11,3
organ failure,11,3
