Keyword,Engagements,Tweets(unique)
medicine,3021,725
hydroxychloroquine,2006,286
la,1330,195
ca,738,185
azithromycin,702,67
plasma,659,76
blm,605,48
pediatric,563,99
control,535,85
se,506,57
complete,471,99
generic,439,10
drug,425,135
chat,382,89
antibodies,373,70
al,372,108
sleep,307,48
vaccines,293,97
ab,280,31
antibody,271,51
19 a,257,121
dexamethasone,242,79
azitromicina,233,8
aha,210,53
gu,203,27
color,196,41
hes,195,23
chloroquine,181,96
drugs,152,65
premier,151,9
step 2,150,31
timeline,143,24
cod,142,5
antiviral,140,24
steroid,132,20
angiotensin,127,13
benzodiazepine,125,17
xanax,125,17
benzodiazepines,125,17
o2,125,28
ativan,124,16
valium,124,16
klonopin,124,16
antibiotics,118,20
dedicated,114,36
cope,110,33
anonymous,105,34
silver,103,33
central,101,32
mediated,101,8
aspirin,100,13
zinc,93,29
oxygen,92,33
thrombolytics,89,1
morphine,86,7
epi,84,11
scrubs,83,33
correct,81,31
medications,78,22
boston,76,17
met,72,31
concept,70,17
steroids,68,29
ticagrelor,68,11
plan b,67,3
water,65,23
macrolide,64,24
medication,63,28
proven,61,29
vigil,59,4
tocilizumab,58,17
au,57,18
metric,56,7
alcohol,55,17
passion,53,14
antivirals,52,17
ace inhibitors,48,17
gentle,47,8
other drugs,44,4
equipoise,42,2
speed,40,25
committed,39,13
medicines,38,23
antihypertensive,37,4
corticosteroids,37,9
fig,37,9
comply,36,7
statins,33,8
zithromax,32,1
matrix,30,4
stand up,29,6
hand sanitizer,28,12
android,27,6
metrics,25,8
hidroxicloroquina,25,8
heparin,25,8
at 10,25,7
glucose,24,5
thrive,24,14
dipyridamole,24,7
airborne,23,16
glass,23,8
ser,23,6
alum,23,9
antibiotic,22,10
pharmaceuticals,22,11
muse,22,1
excel,22,8
enoxaparin,20,5
blood thinners,20,5
gold,19,9
prophylactic,19,8
calcium,18,6
local anesthesia,18,1
inhaled steroids,18,1
a 10,17,10
elders,17,5
mefloquine,17,9
ivermectin,17,2
mate,17,2
directed,16,8
prowess,16,4
refreshing,16,4
chicken,16,5
fccp,16,3
cardiovascular drugs,16,1
precise,15,6
solo,15,9
interferon,15,11
waters,15,5
empagliflozin,15,1
biologics,15,4
stopping,15,7
indomethacin,14,10
clozapine,14,3
immunosuppressive,14,3
antihypertensives,14,2
prevail,14,6
anticoagulant,14,3
apds,14,2
sr,14,2
biomet,13,1
wake up,13,8
potatoes,13,2
maternity,13,3
a 7,13,4
monoclonal antibodies,13,2
hydrogen peroxide,13,1
cam,13,2
opioids,12,6
nsaids,12,6
favipiravir,12,6
chiron,12,2
oasis,12,3
dapagliflozin,12,4
corticosteroid,11,3
anti-inflammatory,11,8
flu vaccine,11,7
sugar,11,4
phe,11,3
thiopurine,11,1
inf,11,3
imo,11,9
clopidogrel,11,5
apne,11,3
azithromycine,10,1
opioid,10,7
colchicine,10,5
aap,10,5
sacubitril/valsartan,10,3
lysol,10,7
amp,10,4
baricitinib,10,6
immunosuppressant,10,2
propofol,9,5
fl,9,7
tn,9,6
no data,9,3
cotton,9,4
dpa,9,2
1-day,9,2
zinc sulphate,9,8
humira,9,1
methotrexate,9,1
luminal,8,2
bi,8,3
anticoagulants,8,5
doxycycline,8,3
momentum,8,3
antiviral drug,8,6
t3,8,1
coppers,8,2
relacin,8,5
immune globulin,8,1
viva,8,3
nafamostat,8,2
fletcher,7,1
take action,7,2
losartan,7,3
api,7,6
antihistamines,7,3
vitamin d,7,6
sacubitril,7,2
cambia,7,1
fumar,7,1
lmwh,7,5
a d,7,3
drug trials,7,3
pill,7,4
wheat,7,2
alerted,7,3
pooled,7,2
react,7,4
enzyme inhibitors,7,1
angiotensin ii receptor blockers,7,1
icosapent,7,3
turkey,7,3
ivermectina,7,3
a10,7,4
vitamin c,6,3
agent,6,5
revival,6,3
deta,6,3
honey,6,2
antimalarials,6,3
ice,6,5
paracetamol,6,4
apt,6,5
ferritin,6,2
harman,6,1
flowers,6,5
ag,6,4
special care,6,1
ang 1-7,6,2
prednisone,6,2
beef,6,5
anti-xa,6,2
flu shot,6,2
goose,6,1
nsaid,6,2
blockade,6,2
opiates,6,1
electrolytes,5,2
mga,5,4
cold water,5,2
influenza vaccine,5,1
actemra,5,5
mediator,5,1
hand sanitizers,5,5
buttercup,5,3
as 2,5,2
my way,5,2
immunomodulators,5,1
cannabinoids,5,1
lamb,5,2
pea,5,3
estar,5,2
kaletra,5,4
comforting,5,2
valsartan,5,1
angiotensin receptor blockers,5,1
survives,5,4
td,5,3
k+,5,4
ramipril,5,1
junk,5,4
anti-malarial drug,5,2
ribavirin,5,5
tpa,5,4
iron,5,3
sulla,5,3
erase,5,2
q10,5,2
neuromed,5,1
natriuretic peptides,5,2
hydrate,5,4
committing,5,2
vitamins,5,1
vitamin-d,5,2
tirofiban,4,3
timelines,4,2
botox,4,3
arsenic,4,3
ginger,4,3
dextromethorphan,4,2
nba,4,4
applaud,4,3
origen,4,3
il-6 receptor antagonist,4,1
elder,4,3
pressors,4,3
rabbit,4,2
of 900,4,3
aldosterone,4,1
vasopressin,4,2
anti-infective,4,1
insulin,4,4
inova,4,2
pravastatin,4,1
pseudo,4,4
thiopurines,4,1
tofacitinib,4,1
revasc,4,1
quercetin,4,3
over the counter,4,3
dexamethasone 6 mg,4,1
diphenhydramine,4,2
tempo,4,2
fibrinogen,4,2
jod,4,1
artesunate,4,1
injectable,4,1
anaesthetics,4,3
vitamin,4,2
tafenoquine,4,1
milk,4,3
cloroquina,4,3
calcium carbonate,4,1
deets,4,1
sodium hypochlorite,3,2
adjuvant,3,2
ocean,3,2
mediators,3,2
cannabis sativa,3,2
cough syrup,3,1
progesterone,3,1
hydrocort,3,2
foi,3,3
prescription drugs,3,1
flu vaccines,3,1
rivaroxaban,3,2
protease,3,2
ibuprofen,3,3
doan,3,1
interferons,3,2
rifampicin,3,1
diuretics,3,1
cancer drug,3,3
drug combination,3,2
remedies,3,3
daisy,3,1
mens health,3,1
brilinta,3,2
vitriol,3,1
lisinopril,3,1
s1,3,3
pork,3,3
companion,3,2
propel,3,1
anakinra,3,3
beam,3,1
lopinavir-ritonavir,3,1
warfarin,3,3
a 17,3,2
lemons,3,2
perch,3,3
covenant,3,1
anticoagulation therapy,3,1
curare,3,1
vascepa,3,1
lovenox,3,2
apixaban,3,2
vine,3,1
neo,3,2
overtime,3,3
carbon,3,2
plaquenil,3,2
prevnar,3,3
over the counter drugs,3,2
adenosine,3,3
hydroxyzine,3,1
antiplatelet drug,3,3
vit d,3,2
all clear,3,1
triad,3,2
azt,3,3
5-fluorouracil,3,1
capitol,3,2
vanilla,3,1
ustekinumab,3,1
dilaudid,3,1
schiff,3,1
lynparza,3,1
rubraca,3,1
pneumococcal,2,2
propoven,2,1
macrolide antibiotic,2,1
materia medica,2,1
silk,2,1
banana,2,2
lax,2,2
copper,2,2
savings,2,2
antidote,2,1
resveratrol,2,1
watermelon,2,2
generic drugs,2,2
intercept,2,1
anesthetic,2,1
mend,2,2
copes,2,2
d a,2,2
ferrum,2,2
opdivo,2,1
sfc,2,1
ifenprodil,2,1
lipase,2,2
encore,2,2
snail,2,1
chocolates,2,1
chloroquine diphosphate,2,1
pressor,2,1
statin,2,2
renewal,2,1
atazanavir,2,2
fragmin,2,1
pc4,2,2
crystal,2,2
kato,2,2
asparagus,2,1
renown,2,2
electrolyte,2,1
cytokines,2,2
t s,2,2
dopamine,2,1
ionophore,2,1
claro,2,2
dragon,2,2
hydrated,2,2
low-dose aspirin,2,1
f-,2,1
sirolimus,2,2
amantadina,2,1
arsenal,2,2
therapeutic agents,2,1
stay alert,2,2
lopinavir/ritonavir,2,2
androgens,2,1
garlic,2,1
heather,2,1
famotidine,2,2
papaya,2,1
uk 1,2,2
etanercept,2,1
catecholamines,2,1
sildenafil,2,1
zosyn,2,2
hospital hand,2,1
integra,2,2
sarilumab,2,1
tetanus,2,1
suramin,2,1
topical steroids,2,1
nifedipine,2,1
new day,2,2
tha,2,1
protease inhibitors,2,1
prohibit,2,2
pneumovax,2,2
estrogen,2,2
halls,2,2
detox,2,1
buzz off,2,1
investigational new drug,2,1
duck,2,2
glycoprotein,2,1
alcohols,2,1
disulfiram,2,2
soothe,2,1
radish,2,2
sage,2,1
nicotine patches,2,1
adhs,2,1
8y,2,1
mth,2,1
contraceptive,2,1
androgen,2,2
neem,2,1
investigational drugs,1,1
hibiclens,1,1
prevantics,1,1
rotavirus vaccines,1,1
almond,1,1
pistachio,1,1
cardamom,1,1
lemon,1,1
surpass,1,1
apple cider vinegar,1,1
turmeric,1,1
macrolide antibiotics,1,1
fluoride,1,1
tylenol,1,1
centuries,1,1
oseltamivir,1,1
selinexor,1,1
lappa,1,1
rosemary,1,1
thyme,1,1
oregano,1,1
secukinumab,1,1
fludrocortisone,1,1
amylase,1,1
lariam,1,1
furosemide,1,1
antifungal,1,1
rocuronium,1,1
ame,1,1
ruxolitinib,1,1
jakafi,1,1
mucinex,1,1
tum,1,1
ile,1,1
cola,1,1
at 17,1,1
prasugrel,1,1
dalcetrapib,1,1
centipede,1,1
p 2,1,1
a 19,1,1
metformin,1,1
salt,1,1
quinolines,1,1
take control,1,1
tandem,1,1
antidepressants,1,1
hypertensive medications,1,1
glucocorticoids,1,1
dioxide,1,1
fleeting,1,1
ca2+,1,1
immune checkpoint inhibitor,1,1
kiwi,1,1
bol,1,1
wormwood,1,1
double check,1,1
doxy,1,1
aveeno,1,1
clarithromycin,1,1
mavrilimumab,1,1
diclofenac,1,1
sofosbuvir,1,1
flonase,1,1
dexametasona,1,1
favoring,1,1
colace,1,1
psychotropic,1,1
hydrating,1,1
agar,1,1
viral vector,1,1
zyflo,1,1
5-lipoxygenase inhibitor,1,1
siltuximab,1,1
a 12,1,1
medis,1,1
hyd,1,1
vit c,1,1
my choice,1,1
amen,1,1
cloxacillin,1,1
proteases,1,1
refresh,1,1
acne treatment,1,1
isotretinoin,1,1
vecuronium,1,1
versed,1,1
neuromuscular blocking agents,1,1
pembrolizumab,1,1
parabens,1,1
paraben,1,1
vitamin k,1,1
procure,1,1
designated,1,1
argatroban,1,1
sacituzumab govitecan,1,1
methadone,1,1
cranks,1,1
pronto,1,1
novartis,1,1
farxiga,1,1
alerting,1,1
probiotic formula,1,1
mmr vaccine,1,1
cough medicines,1,1
robitussin,1,1
dimetapp,1,1
viagra,1,1
mushroom,1,1
dupilumab,1,1
tdap,1,1
folate,1,1
vcr,1,1
live vaccines,1,1
opv,1,1
spinach,1,1
leech,1,1
cherry,1,1
choline,1,1
odomzo,1,1
phosphorus,1,1
magnesium,1,1
succinylcholine,1,1
ace inhibitor,1,1
adicin,1,1
isoprinosine,1,1
shepard,1,1
berry,1,1
respiratory vaccine,1,1
raloxifene,1,1
probe,1,1
d3,1,1
green or,1,1
align,1,1
ethanol,1,1
nitroglycerin,1,1
iodine,1,1
nitazoxanide,1,1
augmentin,1,1
avid,1,1
norco,1,1
antioxidants,1,1
adderall,1,1
camostat mesilate,1,1
squash,1,1
degarelix,1,1
apd,1,1
drug trial,1,1
panadol,1,1
lavender,1,1
tonic,1,1
teriflunomide,1,1
gangliosides,1,1
nad,1,1
homeopathic medicines,1,1
sone,1,1
star wars,1,1
metronidazole,1,1
flagyl,1,1
yeast,1,1
autologous,1,1
adalimumab,1,1
lidocaine,1,1
mta,1,1
capex,1,1
benadryl,1,1
vision clear,1,1
calquence,1,1
messengers,1,1
baloxavir marboxil,1,1
codeine,1,1
aminoquinolines,1,1
jak inhibitors,1,1
alvesco,1,1
ciclesonide,1,1
mmr,1,1
cangrelor,1,1
anaesthetic,1,1
nimba,1,1
cit,1,1
tenofovir,1,1
amlodipine,1,1
