Keyword,Engagements,Tweets(unique)
symptoms,722,207
chest pain,544,74
sick,362,121
ill,332,99
fever,313,42
pain,302,51
fatigue,297,42
tired,196,38
illness,154,72
vomiting,130,6
illnesses,128,24
shortness of breath,124,14
strain,124,20
breathlessness,109,9
exhausted,101,22
skin manifestations,101,23
rash,71,15
ha,70,24
rashes,65,18
respiratory symptoms,57,7
nervous,56,9
wasting,52,9
mass,47,29
difficulty breathing,44,2
cough,37,23
abscence,35,2
angina,34,10
flushing,33,5
headaches,32,7
sob,31,14
catching,28,15
hyperaesthesia,27,2
skin rashes,25,8
symptoms of depression,24,4
headache,23,10
painful,23,15
quality of life,23,4
imbalance,22,8
toe in,22,1
aches,21,6
job strain,20,2
abdominal pain,19,4
cardiac symptom,18,1
dizziness,17,4
stiff,17,1
skin damage,16,1
insomnia,16,7
spots,16,7
muscle weakness,16,3
gi symptoms,16,8
dolor,16,3
rigor,14,4
ageusia,14,4
dyspnea,14,8
weak,13,8
crushing,13,7
breathless,12,3
syncope on exertion,12,1
groin pain,12,1
gas,12,10
dull,12,4
gastrointestinal symptoms,12,3
other symptoms,12,5
coughing,12,4
sigh,11,7
burning,11,5
exhaustion,11,5
physical symptoms,11,3
syncope,11,3
weakness,11,3
organ failure,11,3
abdominal pains,11,1
flare,10,5
weaknesses,10,4
fitting,10,8
suffocated,10,2
sickness,10,4
despair,10,6
tiredness,10,1
spell,9,8
shoulder pain,9,2
skin symptoms,9,2
ache,8,3
sneeze,8,4
sore,8,5
function recovery,8,1
fatigued,8,1
short of breath,8,3
whoops,7,3
pains,7,4
diarrhea,7,6
chilling,7,1
hunger,7,3
amaurosis fugax,7,1
unwell,7,4
shake,6,4
unrest,6,5
nausea,6,4
halo,6,2
altered sensation,6,1
chills,6,4
rigid,6,2
angina symptoms,6,1
new onset chest pain,6,1
scapular pain,6,1
loss of taste,5,2
shaking,5,3
heart problems,5,3
charm,5,1
heart symptoms,5,1
ruq pain,5,1
jaundice,5,1
glaring,5,2
feel bad,4,3
nausea/vomiting,4,2
eruption,4,4
toe symptoms,4,3
flu-like symptoms,4,2
hungry,4,1
myalgia,4,3
neuropathic pain,4,1
cramping,4,1
coughs,4,3
chill,3,3
neck pain,3,1
tense,3,3
respiratory distress,3,3
chest discomfort,3,2
fevers,3,3
doe,3,2
vertigo,3,2
acute chest pain,3,1
not coping,3,1
hudson,3,1
stopped breathing,3,1
kidney problems,3,1
ailment,3,2
greedy,3,3
lethargy,3,3
oedema,3,1
myalgias,3,2
pulmonary symptoms,3,2
discomfort,3,2
rundown,3,1
edema,3,1
symptoms in children,3,3
sighs,3,1
cv symptoms,3,1
myalgic,3,1
deep breath,2,1
high fever,2,2
gasping for air,2,1
thinning,2,2
menstruation,2,2
nonproductive cough,2,1
yelling,2,2
rest pain,2,1
pain toe,2,1
ear pain,2,1
runny nose,2,1
passed out,2,2
acute abdomen,2,1
back pain,2,1
acute vision loss,2,2
ailments,2,2
clinical findings,2,1
metabolic symptoms,2,1
vomits,2,1
spotty,2,1
bad breath,2,2
feel tired,2,2
oversleeping,2,2
flank pain,2,1
chest tightness,2,1
cardiac symptoms,2,1
angina pectoris,2,1
eye pain,2,1
epiphenomenon,2,2
miserable,2,1
febrile,2,2
hesitancy,2,2
dry cough,2,1
breathing symptoms,2,1
see things,2,1
exertional,2,1
exertional dyspnea,2,1
ophthalmoparesis,2,2
hangover,1,1
generalised abdominal pain,1,1
no respiratory symptoms,1,1
petechiae,1,1
flatulence,1,1
spasms,1,1
foot swelling,1,1
right iliac fossa mass,1,1
flush,1,1
vanity,1,1
malaise,1,1
neurological symptoms,1,1
vomit,1,1
short of breath on exertion,1,1
post-exertional malaise,1,1
ent problems,1,1
pain in back,1,1
neuralgia,1,1
diarrhoea,1,1
halitosis,1,1
pre-syncope,1,1
no new symptoms,1,1
nauseated,1,1
cardiovascular problems,1,1
throw up,1,1
medically unexplained symptoms,1,1
thanatophobia,1,1
chest pains,1,1
bronchial breath sounds,1,1
not feeling well,1,1
breathing difficulty,1,1
taste loss,1,1
rlq pain,1,1
pass out,1,1
throat sore,1,1
sneezing,1,1
clinical finding,1,1
anal pain,1,1
perianal mass,1,1
coronary spastic angina,1,1
hoarseness,1,1
bloody sputum,1,1
psychiatric symptoms,1,1
gasp,1,1
falling out,1,1
chronic pain,1,1
sighing,1,1
withdrawal symptoms,1,1
spasm,1,1
