Keyword,Engagements,Tweets(unique)
symptoms_symptoms of depression_symptoms in children,749,214
chest pain_chest pains,545,75
sick_sickness,372,125
ill_illness_illnesses,614,195
fever_fevers,316,45
pain_painful_pains_pain toe_pain in back,335,72
fatigue_fatigued,305,43
tired_tiredness,206,39
vomiting_vomit,131,7
shortness of breath,124,14
strain,124,20
breathlessness_breathless,121,12
exhausted,101,22
skin manifestations,101,23
rash_rashes,136,33
halo_hangover_halitosis,78,28
respiratory symptoms,57,7
nervous,56,9
mass,47,29
difficulty breathing,44,2
cough_coughing_coughs,53,30
abscence,35,2
angina_angina symptoms_angina pectoris,42,12
flushing_flush,34,6
headaches_headache,55,17
sob,31,14
catching,28,15
hyperaesthesia,27,2
skin rashes,25,8
quality of life,23,4
imbalance,22,8
toe in,22,1
aches_ache,29,9
job strain,20,2
abdominal pain_abdominal pains,30,5
cardiac symptom_cardiac symptoms,20,2
dizziness,17,4
stiff,17,1
skin damage,16,1
insomnia,16,7
spots,16,7
muscle weakness,16,3
gi symptoms,16,8
dolor,16,3
rigor,14,4
ageusia,14,4
dyspnea,14,8
weak_weakness,34,15
crushing,13,7
syncope on exertion_syncope,23,4
groin pain,12,1
gas_gastrointestinal symptoms_gasping for air_gasp,27,15
dull,12,4
other symptoms,12,5
sigh_sighs_sighing,15,9
burning,11,5
exhaustion,11,5
physical symptoms,11,3
organ failure,11,3
flare,10,5
fitting,10,8
suffocated,10,2
despair,10,6
spell,9,8
shoulder pain,9,2
skin symptoms,9,2
sneeze,8,4
sore,8,5
function recovery,8,1
short of breath_short of breath on exertion,9,4
diarrhea,7,6
chilling_chill,10,4
hunger,7,3
amaurosis fugax,7,1
unwell,7,4
shake,6,4
unrest,6,5
nausea_nausea/vomiting_nauseated,11,7
altered sensation,6,1
chills,6,4
rigid,6,2
new onset chest pain,6,1
scapular pain,6,1
loss of taste,5,2
shaking,5,3
heart problems,5,3
charm,5,1
heart symptoms,5,1
ruq pain,5,1
jaundice,5,1
glaring,5,2
feel bad,4,3
eruption,4,4
toe symptoms,4,3
flu-like symptoms,4,2
hungry,4,1
myalgia_myalgias,7,5
neuropathic pain,4,1
cramping,4,1
neck pain,3,1
tense,3,3
respiratory distress,3,3
chest discomfort,3,2
doe,3,2
vertigo,3,2
acute chest pain,3,1
not coping,3,1
hudson,3,1
stopped breathing,3,1
kidney problems,3,1
ailment_ailments,5,4
greedy,3,3
lethargy,3,3
oedema,3,1
pulmonary symptoms,3,2
discomfort,3,2
rundown,3,1
edema,3,1
cv symptoms,3,1
myalgic,3,1
deep breath,2,1
high fever,2,2
thinning,2,2
menstruation,2,2
nonproductive cough,2,1
rest pain,2,1
ear pain,2,1
runny nose,2,1
passed out,2,2
acute abdomen,2,1
back pain,2,1
acute vision loss,2,2
clinical findings_clinical finding,3,2
metabolic symptoms,2,1
vomits,2,1
spotty,2,1
bad breath,2,2
feel tired,2,2
oversleeping,2,2
flank pain,2,1
chest tightness,2,1
eye pain,2,1
epiphenomenon,2,2
miserable,2,1
febrile,2,2
hesitancy,2,2
dry cough,2,1
breathing symptoms,2,1
see things,2,1
exertional_exertional dyspnea,4,2
ophthalmoparesis,2,2
generalised abdominal pain,1,1
no respiratory symptoms,1,1
petechiae,1,1
flatulence,1,1
spasms_spasm,2,2
foot swelling,1,1
right iliac fossa mass,1,1
vanity,1,1
malaise,1,1
neurological symptoms,1,1
post-exertional malaise,1,1
ent problems,1,1
neuralgia,1,1
diarrhoea,1,1
pre-syncope,1,1
no new symptoms,1,1
cardiovascular problems,1,1
throw up,1,1
medically unexplained symptoms,1,1
thanatophobia,1,1
bronchial breath sounds,1,1
not feeling well,1,1
breathing difficulty,1,1
taste loss,1,1
rlq pain,1,1
pass out,1,1
throat sore,1,1
sneezing,1,1
anal pain,1,1
perianal mass,1,1
coronary spastic angina,1,1
hoarseness,1,1
bloody sputum,1,1
psychiatric symptoms,1,1
falling out,1,1
chronic pain,1,1
withdrawal symptoms,1,1
